name,price
Python编程从入门到实践 基础教程 核心编程,59.80
笨办法学Python 3,43.10
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书 少儿小学生儿童趣,50.00
流畅的Python,112.90
Python统计分析 建模 数据分析 讲述统计数据分析与应用书籍,55.60
Python语言在Abaqus中的应用 脚本接口快速建模访问输出,35.90
PYTHON数据可视化之MATPLOTLIB实践,44.80
Python数据科学入门 德米特里·齐诺维耶夫 9787115470607 人民邮电出版社,36.80
Python和Pygame游戏开发指南 Python语言编程指南 Pygame Pytho,38.35
Python 3学习笔记上卷 python3.6语言教程 python编程从入门到实战 pyt,56.96
青少年学Python 中小学生计算机编程入门 青少年编程入门教程 核心编程零基础学python编程,59.20
Python从菜鸟到高手 Python核心知识点以及Python在Web开发 数据,95.60
Python网络数据采集 python语言网络数据采集教程书籍 python编程基础入门教,43.60
